((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 65), ('LinearRegression', 28.566269331567355, 0.9906671160279141, 0.060252665848968115))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 66), ('LinearRegression', 18.105771201186773, 0.9858031011268849, 0.09208036498812934))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 67), ('LinearRegression', 12.840646223202818, 0.9861546785238383, 0.15686122704581637))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 68), ('LinearRegression', 9.158377653133646, 0.9859393943426512, 0.02774011809168938))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 69), ('LinearRegression', 11.709547673457493, 0.9902477472083128, 0.03437232785608285))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 70), ('LinearRegression', 5.6594624807876635, 0.9755120486400028, 0.08334245645416159))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 71), ('LinearRegression', 2.8459029352175644, 0.9738596483254082, 0.17593175843176595))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 72), ('LinearRegression', 11.591950475117157, 0.9875938376564448, 0.0709743921516496))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 73), ('LinearRegression', 4.410355757269638, 0.9910158001566464, 0.06289333686257993))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 74), ('LinearRegression', 8.24130240300388, 0.9783917470023424, 0.10518606665001612))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 75), ('LinearRegression', -8.566137248652659, 0.9851085651281092, 0.06109760060587091))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 76), ('LinearRegression', 2.557817386839972, 0.9835120975363639, 0.006698401552407282))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 77), ('LinearRegression', 19.974717124723135, 0.9912266884525666, 0.03556790374938119))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 78), ('LinearRegression', 31.717675364262938, 0.9850720177143938, 0.09039398110382979))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 79), ('LinearRegression', 22.846509051889775, 0.9913311205812991, 0.06398049779182483))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 80), ('LinearRegression', 6.839441811092867, 0.9657067186964129, 0.1064342031988494))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 81), ('LinearRegression', 17.373595306930838, 0.9887471608042382, 0.023098748982778347))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 82), ('LinearRegression', 12.802696896311076, 0.9856771986904111, 0.08256750280953112))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 83), ('LinearRegression', -19.51405089636498, 0.9909144929658673, 0.0695021470976984))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 84), ('LinearRegression', 43.40044920630049, 0.9498796732640581, 0.25575952750132913))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 85), ('LinearRegression', 20.600871164719457, 0.9924424673908047, 0.018145488719996477))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 86), ('LinearRegression', -1.2677362783356572, 0.9974484835346974, 0.012967073347926381))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 87), ('LinearRegression', 10.231322255497346, 0.9837222066705824, 0.027986366925610344))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 88), ('LinearRegression', 58.74915686469279, 0.9909755253245336, 0.041344108520658826))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 89), ('LinearRegression', 36.37113192684125, 0.9614740098961824, 0.05181283187714846))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 90), ('LinearRegression', 33.28673154361379, 0.9654955226703796, 0.11956005526963331))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 91), ('LinearRegression', 4.3450749171300425, 0.9851794777910855, 0.017127686318648572))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 92), ('LinearRegression', 0.5707720606269404, 0.9669939435214613, 0.03444645572162902))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 93), ('LinearRegression', 4.515952715904674, 0.9872715282414153, 0.09279178353787323))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 94), ('LinearRegression', 7.922860157365118, 0.979520172486888, 0.02036058758461365))
