dtime,time,open,high,low,close,vwap,volume,count
2019-04-04,1554336000,4423.9,4516.4,4244.1,4368.5,4413.5,7920.72811358,31547
2019-04-03,1554249600,4374.2,4771.4,4295.8,4423.9,4501.2,13289.79690115,49365
2019-04-02,1554163200,3697.6,4565.0,3691.0,4374.2,4217.3,15610.30585952,46571
2019-04-01,1554076800,3646.2,3705.1,3610.2,3697.5,3676.4,5028.73316611,20604
2019-03-31,1553990400,3646.0,3655.5,3632.5,3646.2,3645.1,1445.03801804,13337
2019-03-30,1553904000,3645.1,3678.0,3601.1,3647.0,3635.6,2214.40833819,14710
2019-03-29,1553817600,3572.0,3650.0,3560.5,3645.1,3615.0,4571.35153737,17892
2019-03-28,1553731200,3576.7,3582.6,3548.2,3572.0,3569.8,3200.32634062,13505
2019-03-27,1553644800,3481.2,3583.0,3474.8,3576.7,3552.5,5081.92413503,18142
2019-03-26,1553558400,3458.2,3484.8,3442.2,3481.2,3462.5,3671.38932946,14572
2019-03-25,1553472000,3519.9,3528.4,3412.7,3458.2,3488.0,4257.61431356,19867
2019-03-24,1553385600,3527.1,3527.1,3491.1,3517.7,3513.0,1478.50098263,9583
2019-03-23,1553299200,3528.8,3544.7,3507.5,3527.1,3524.1,1347.05228469,11066
2019-03-22,1553212800,3496.1,3548.2,3484.6,3528.4,3522.6,2452.08235636,13484
2019-03-21,1553126400,3531.3,3565.7,3450.1,3496.1,3515.4,3884.82732264,18685
2019-03-20,1553040000,3524.8,3540.2,3497.1,3531.3,3520.9,3937.75264578,15450
2019-03-19,1552953600,3505.1,3535.6,3482.9,3524.8,3509.0,3582.06082504,15050
2019-03-18,1552867200,3501.8,3543.8,3466.7,3505.1,3497.4,3800.88013799,15688
2019-03-17,1552780800,3519.7,3520.0,3474.0,3501.7,3499.4,1203.43390749,10239
2019-03-16,1552694400,3443.8,3557.3,3441.8,3519.7,3510.7,2907.247847,15409
2019-03-15,1552608000,3409.0,3452.5,3402.6,3443.8,3429.2,3601.19105755,15076
2019-03-14,1552521600,3398.8,3450.0,3353.2,3409.0,3405.4,4318.55133451,15465
2019-03-13,1552435200,3425.4,3430.1,3390.0,3397.7,3409.0,3973.0043261,14558
2019-03-12,1552348800,3422.4,3452.6,3380.0,3425.3,3423.2,3979.25636804,16136
2019-03-11,1552262400,3472.6,3480.9,3400.0,3422.4,3432.6,3634.92933594,15627
2019-03-10,1552176000,3487.8,3488.3,3446.5,3472.6,3462.7,1301.82118324,9520
2019-03-09,1552089600,3427.5,3510.0,3417.9,3487.8,3476.1,2079.32194081,11955
2019-03-08,1552003200,3443.9,3485.0,3351.8,3427.5,3450.5,3793.21899308,15682
2019-03-07,1551916800,3402.7,3464.6,3387.0,3443.9,3430.1,4178.12632489,16825
2019-03-06,1551830400,3399.9,3450.7,3372.1,3402.8,3406.0,3590.98589768,13954
2019-03-05,1551744000,3269.6,3429.0,3260.9,3399.9,3347.2,4952.980502,17703
