((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 4), (5.704191257986456, 0.9032272198521831, 8.002602418040448))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 5), (5.699430117488565, 0.8995128677862934, 3.8931774512955353))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 6), (5.667944675432065, 0.948213229063787, 6.012852092320067))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 7), (6.92158802270955, 0.9296565639898543, 3.375703535803715))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 8), (6.5620568821224206, 0.9313989751383178, 3.499098964539387))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 9), (7.25727531905585, 0.9460632449842822, 5.594613806576816))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 10), (4.829808080834347, 0.9296712982024821, 3.5256799618637418))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 11), (4.684053140805305, 0.94287440665762, 5.374894541866142))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 12), (5.445693264030945, 0.9484620290707236, 4.447385716246432))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 13), (4.349545498318334, 0.9354795308786515, 1.6212643937040816))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 14), (3.554330098584961, 0.9780273283810073, 3.1648675573469194))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 15), (3.8333785935634563, 0.9812886626279991, 2.2045744473593705))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 16), (3.8837251443659087, 0.9775121714375296, 1.5247637126859808))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 17), (3.2699176033303057, 0.9893471828600972, 1.645258427971324))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 18), (1.9378302748021448, 0.9879479825230462, 1.4265357605579487))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 19), (0.0, 1.0, 8.137030144334184e-15))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 1), (1.5780849489255786, 0.920382164922365, 5.489825730522632))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 2), (4.852151594800936, 0.928241690053211, 7.654088894898142))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 3), (5.780930617500665, 0.9207012938473585, 5.128856035162663))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 4), (5.957406315455213, 0.9248708634786227, 5.0317793409033005))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 5), (5.1412917166797945, 0.9334828968221549, 3.8239008005013484))
